location,size,society,total_sqft,bath,balcony,price
Electronic City Phase II,2,Coomee ,1056,2,1,39.07
Chikka Tirupathi,4,Theanmp,2600,5,3,120
Uttarahalli,3,,1440,2,3,62
Lingadheeranahalli,3,Soiewre,1521,3,1,95
Kothanur,2,,1200,2,1,51
Whitefield,2,DuenaTa,1170,2,1,38
Old Airport Road,4,Jaades ,2732,4,1,204
Rajaji Nagar,4,Brway G,3300,4,1,600
Marathahalli,3,,1310,3,1,63.25
Gandhi Bazar,6,,1020,6,1,370
Whitefield,3,,1800,2,2,70
Gandhi Bazar,6,,1020,6,1,370
7th Phase JP Nagar,2,Shncyes,1000,2,1,38
Gottigere,2,,1100,2,2,40
Gandhi Bazar,6,,1020,6,1,370
Mysore Road,2,PrntaEn,1175,2,2,73.5
Bisuvanahalli,3,Prityel,1180,3,2,48
Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60
Ramakrishnappa Layout,3,PeBayle,2770,4,2,290
Manayata Tech Park,2,,1100,2,2,48
Kengeri,1,,600,1,1,15
Binny Pete,3,She 2rk,1755,3,1,122
Gandhi Bazar,6,,1020,6,1,370
Bellandur,3,,1767,3,1,103
Mangammanapalya,3,,1250,3,2,56
Electronic City,2,Itelaa ,660,1,1,23.1
Whitefield,3,,1610,3,2,81
Ramagondanahalli,2,ViistLa,1151,2,2,48.77
Electronic City,3,KBityo ,1025,2,1,47
Bisuvanahalli,3,Prityel,1075,2,1,35
Hebbal,3,Mahosya,1760,2,2,123
Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
Kasturi Nagar,3,Kantsce,1925,3,3,125
Kanakpura Road,2,PrarePa,700,2,1,36
Electronics City Phase 1,2,,1070,2,1,45.5
Kundalahalli,3,Dieldli,1724,3,2,125
Chikkalasandra,3,,1290,2,2,56.12
Uttarahalli,2,,1143,2,2,45
Murugeshpalya,2,Gentson,1296,2,2,81
Sarjapur  Road,3,Soini T,1254,3,2,38
Ganga Nagar,1,Ceove G,600,1,0,38
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,Soazak ,1330.74,2,2,91.79
Gandhi Bazar,6,,1020,6,1,370
Doddathoguru,2,LancyRe,970,2,0,33
Whitefield,2,Goted U,1459,2,1,94.82
Gandhi Bazar,6,,1020,6,1,370
Himagiri Meadows,2,,869,2,1,36
Adarsh Nagar,2,Bhncyis,1270,2,1,50
Bhoganhalli,3,Rosha I,1670,3,1,99
Whitefield,3,Suent V,2010,3,2,91
Lakshminarayana Pura,2,RothaVa,1185,2,2,75
Yelahanka,3,NCowsar,1600,2,3,75
Begur Road,2,Dhalsh ,1200,2,2,44
Ramakrishnappa Layout,2,PeBayle,1500,2,2,185
Gandhi Bazar,6,,1020,6,1,370
Govindaraja Nagar Ward,2,,840,2,2,45
Gandhi Bazar,6,,1020,6,1,370
Ganga Nagar,2,Laavevi,845,2,1,55
Gandhi Bazar,6,,1020,6,1,370
Varthur,2,HioraTr,1160,2,2,44
Gandhi Bazar,6,,1020,6,1,370
Doddathoguru,2,,1100,2,1,62
Gunjur,2,BMineis,1140,2,3,43
Marathahalli,2,,1220,2,1,57
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,2,,1005,2,1,36.68
Gandhi Bazar,6,,1020,6,1,370
Begur Road,2,Pruthg ,1358,2,1,80.58
Hegde Nagar,3,Sonosty,1569,3,1,101
Haralur Road,2,SNnia E,1240,2,1,70
Hennur Road,3,Anavi B,2089,3,2,140
Kothannur,2,,1206,2,1,48.23
Kalena Agrahara,2,,1150,2,3,40
Cholanayakanahalli,3,Viony H,2511,3,3,205
Kaval Byrasandra,2,,460,1,0,22
Gandhi Bazar,6,,1020,6,1,370
Kodanda Reddy Layout,3,AdentEl,1660,2,2,105
Yelahanka,2,Niareum,1326,2,2,78
Garudachar Palya,3,,1325,2,2,60.8
EPIP Zone,3,SJlynro,1499,5,2,102
Gandhi Bazar,6,,1020,6,1,370
Kanakpura Road,3,,1665,3,2,88
Dasanapura,2,Tavenew,708,2,2,37
Kasavanhalli,2,Srire S,1060,2,2,58.06
Gandhi Bazar,6,,1020,6,1,370
Sanjay nagar,2,Saenti ,1000,2,2,70
Electronic City,2,,1000,2,1,28.88
 Mysore Highway,3,,1450,2,2,70
Gandhi Bazar,6,,1020,6,1,370
Thanisandra,2,Bhmesy ,1296,2,3,80
Domlur,3,,1540,3,2,90
Gandhi Bazar,6,,1020,6,1,370
Sarjapura - Attibele Road,3,,1330,2,1,48
Devasthanagalu,2,,1200,2,1,65
Gandhi Bazar,6,,1020,6,1,370
Yeshwanthpur,3,IBityin,2502,3,3,138
Chandapura,2,KHityry,650,1,1,17
Gandhi Bazar,6,,1020,6,1,370
Green View Layout,2,Makeser,1007,2,2,43
Shantiniketan Layout,2,Maest N,1200,2,2,50
Peenya,2,,966,2,2,49.9
Nagarbhavi,3,,1630,2,1,98
